iter	Accuracy	Logloss
180	0.8528220704	0.3171579598
181	0.8532017211	0.3163871117
182	0.853707922	0.315705907
183	0.8539610225	0.3153142976
184	0.854214123	0.315062133
185	0.8540875728	0.3147369211
186	0.854720324	0.3142066833
187	0.8553530752	0.3136442214
188	0.8552265249	0.3133930768
189	0.8557327259	0.3130749768
190	0.8559858264	0.3127910361
191	0.8568716781	0.3122627049
192	0.8569982283	0.3119846326
193	0.8575044293	0.3114750344
194	0.8576309795	0.3113248879
195	0.8583902809	0.3110614738
196	0.8582637307	0.3108449903
197	0.8585168312	0.3103785898
198	0.8585168312	0.3100333721
199	0.8588964819	0.3095335469
